nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,year,quarter
CANADIAN PAC RY LTD,COM,13645T100,243019,2944259,SH,SOLE,2022,2
CHIPOTLE MEXICAN GRILL INC,COM,169656105,1763528,1114725,SH,SOLE,2022,2
DOMINOS PIZZA INC,COM,25754A201,841709,2068031,SH,SOLE,2022,2
HILTON WORLDWIDE HLDGS INC,COM,43300A203,1510160,9952287,SH,SOLE,2022,2
HOWARD HUGHES CORP,COM,44267D107,1411185,13620164,SH,SOLE,2022,2
LOWES COS INC,COM,548661107,2063815,10207306,SH,SOLE,2022,2
NETFLIX INC,COM,64110L106,1164962,3109965,SH,SOLE,2022,2
RESTAURANT BRANDS INTL INC,COM,76131D103,1393456,23864631,SH,SOLE,2022,2
CANADIAN PAC RY LTD,COM,13645T100,205627,2944259,SH,SOLE,2022,3
CHIPOTLE MEXICAN GRILL INC,COM,169656105,1444794,1105208,SH,SOLE,2022,3
DOMINOS PIZZA INC,COM,25754A201,803314,2061312,SH,SOLE,2022,3
HILTON WORLDWIDE HLDGS INC,COM,43300A203,1104215,9908602,SH,SOLE,2022,3
HOWARD HUGHES CORP,COM,44267D107,926852,13620164,SH,SOLE,2022,3
LOWES COS INC,COM,548661107,1782910,10207306,SH,SOLE,2022,3
RESTAURANT BRANDS INTL INC,COM,76131D103,1194705,23822641,SH,SOLE,2022,3
CANADIAN PAC RY LTD,COM,13645T100,1016616,15237044,SH,SOLE,2022,4
CHIPOTLE MEXICAN GRILL INC,COM,169656105,1660862,1105208,SH,SOLE,2022,4
HILTON WORLDWIDE HLDGS INC,COM,43300A203,1210009,10031580,SH,SOLE,2022,4
HOWARD HUGHES CORP,COM,44267D107,754421,13620164,SH,SOLE,2022,4
LOWES COS INC,COM,548661107,1948491,10374801,SH,SOLE,2022,4
RESTAURANT BRANDS INTL INC,COM,76131D103,1286646,24194166,SH,SOLE,2022,4
CANADIAN PAC RY LTD,COM,13645T100,1136531112,15237044,SH,SOLE,2023,1
CHIPOTLE MEXICAN GRILL INC,COM,169656105,1533465048,1105208,SH,SOLE,2023,1
HILTON WORLDWIDE HLDGS INC,COM,43300A203,1267590449,10031580,SH,SOLE,2023,1
HOWARD HUGHES CORP,COM,44267D107,1214706217,15895135,SH,SOLE,2023,1
LOWES COS INC,COM,548661107,2067075351,10374801,SH,SOLE,2023,1
RESTAURANT BRANDS INTL INC,COM,76131D103,1564636715,24194166,SH,SOLE,2023,1
