nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,year,quarter
AIR TRANSPORT SERVICES GRP I,COM,00922R105,361601,13918445,SH,SOLE,2023,1
IONQ INC,COM,46222L108,9716,2816253,SH,SOLE,2023,1
MARVELL TECHNOLOGY INC,COM,573874104,8350,225428,SH,SOLE,2023,1
NAUTILUS BIOTECHNOLOGY INC,COM,63909J108,2623,1457055,SH,SOLE,2023,1
OWLET INC,COM CL A,69120X107,276,493537,SH,SOLE,2023,1
RIVIAN AUTOMOTIVE INC,COM CL A,76954A103,2918645,158363834,SH,SOLE,2023,1
SMARTRENT INC,COM CL A,83193G107,1523,626893,SH,SOLE,2023,1
VITAL FARMS INC,COM,92847W103,23920,1603230,SH,DFND,2023,1
AIR TRANSPORT SERVICES GRP I,COM,00922R105,289921209,13918445,SH,SOLE,2023,2
IONQ INC,COM,46222L108,17319956,2816253,SH,SOLE,2023,2
MARVELL TECHNOLOGY INC,COM,573874104,9761032,225428,SH,SOLE,2023,2
NAUTILUS BIOTECHNOLOGY INC,COM,63909J108,4036042,1457055,SH,SOLE,2023,2
OWLET INC,COM CL A,69120X107,159906,493537,SH,SOLE,2023,2
RIVIAN AUTOMOTIVE INC,COM CL A,76954A103,2451472150,158363834,SH,SOLE,2023,2
SMARTRENT INC,COM CL A,83193G107,1598577,626893,SH,SOLE,2023,2
VITAL FARMS INC,COM,92847W103,24529419,1603230,SH,DFND,2023,2
AIR TRANSPORT SERVICES GRP I,COM,00922R105,262641057,13918445,SH,SOLE,2023,3
IONQ INC,COM,46222L108,38103903,2816253,SH,SOLE,2023,3
MARVELL TECHNOLOGY INC,COM,573874104,13476086,225428,SH,SOLE,2023,3
NAUTILUS BIOTECHNOLOGY INC,COM,63909J108,5638803,1457055,SH,SOLE,2023,3
OWLET INC,COM CL A,69120X107,167803,493537,SH,SOLE,2023,3
RIVIAN AUTOMOTIVE INC,COM CL A,76954A103,2638341474,158363834,SH,SOLE,2023,3
SMARTRENT INC,COM CL A,83193G107,2401000,626893,SH,SOLE,2023,3
TWILIO INC,CL A,90138F102,112502173,1768346,SH,SOLE,2023,3
VITAL FARMS INC,COM,92847W103,19222728,1603230,SH,DFND,2023,3
AIR TRANSPORT SERVICES GRP I,COM,00922R105,265913957,12741445,SH,SOLE,2023,4
IONQ INC,COM,46222L108,28674668,1927061,SH,SOLE,2023,4
MARVELL TECHNOLOGY INC,COM,573874104,12202418,225428,SH,SOLE,2023,4
NAUTILUS BIOTECHNOLOGY INC,COM,63909J108,4604294,1457055,SH,SOLE,2023,4
OWLET INC,COM CL A,69120X107,157929,35252,SH,SOLE,2023,4
RIVIAN AUTOMOTIVE INC,COM CL A,76954A103,3845073890,158363834,SH,SOLE,2023,4
SMARTRENT INC,COM CL A,83193G107,1636191,626893,SH,SOLE,2023,4
TWILIO INC,CL A,90138F102,103501291,1768346,SH,SOLE,2023,4
VITAL FARMS INC,COM,92847W103,18565403,1603230,SH,DFND,2023,4
